subjectID,LH_VisCent_ExStr_1,LH_VisCent_ExStr_2,LH_VisCent_Striate_1,LH_VisCent_ExStr_3,LH_VisPeri_ExStrInf_1,LH_VisPeri_StriCal_1,LH_VisPeri_ExStrSup_1,LH_SomMotA_1,LH_SomMotA_2,LH_SomMotB_Aud_1,LH_SomMotB_S2_1,LH_SomMotB_S2_2,LH_SomMotB_Cent_1,LH_DorsAttnA_TempOcc_1,LH_DorsAttnA_ParOcc_1,LH_DorsAttnA_SPL_1,LH_DorsAttnB_PostC_1,LH_DorsAttnB_PostC_2,LH_DorsAttnB_PostC_3,LH_DorsAttnB_FEF_1,LH_SalVentAttnA_ParOper_1,LH_SalVentAttnA_Ins_1,LH_SalVentAttnA_Ins_2,LH_SalVentAttnA_ParMed_1,LH_SalVentAttnA_FrMed_1,LH_SalVentAttnB_PFCl_1,LH_SalVentAttnB_PFCmp_1,LH_LimbicB_OFC_1,LH_LimbicA_TempPole_1,LH_LimbicA_TempPole_2,LH_ContA_IPS_1,LH_ContA_PFCl_1,LH_ContA_PFCl_2,LH_ContB_PFClv_1,LH_ContC_pCun_1,LH_ContC_pCun_2,LH_ContC_Cingp_1,LH_DefaultA_PFCd_1,LH_DefaultA_pCunPCC_1,LH_DefaultA_PFCm_1,LH_DefaultB_Temp_1,LH_DefaultB_Temp_2,LH_DefaultB_IPL_1,LH_DefaultB_PFCd_1,LH_DefaultB_PFCl_1,LH_DefaultB_PFCv_1,LH_DefaultB_PFCv_2,LH_DefaultC_Rsp_1,LH_DefaultC_PHC_1,LH_TempPar_1,RH_VisCent_ExStr_1,RH_VisCent_ExStr_2,RH_VisCent_ExStr_3,RH_VisPeri_StriCal_1,RH_VisPeri_ExStrInf_1,RH_VisPeri_ExStrSup_1,RH_SomMotA_1,RH_SomMotA_2,RH_SomMotA_3,RH_SomMotA_4,RH_SomMotB_Aud_1,RH_SomMotB_S2_1,RH_SomMotB_S2_2,RH_SomMotB_Cent_1,RH_DorsAttnA_TempOcc_1,RH_DorsAttnA_ParOcc_1,RH_DorsAttnA_SPL_1,RH_DorsAttnB_PostC_1,RH_DorsAttnB_PostC_2,RH_DorsAttnB_FEF_1,RH_SalVentAttnA_ParOper_1,RH_SalVentAttnA_Ins_1,RH_SalVentAttnA_ParMed_1,RH_SalVentAttnA_FrMed_1,RH_SalVentAttnB_IPL_1,RH_SalVentAttnB_PFCl_1,RH_SalVentAttnB_PFCmp_1,RH_LimbicB_OFC_1,RH_LimbicA_TempPole_1,RH_ContA_IPS_1,RH_ContA_PFCl_1,RH_ContA_PFCl_2,RH_ContB_Temp_1,RH_ContB_IPL_1,RH_ContB_PFCld_1,RH_ContB_PFClv_1,RH_ContC_Cingp_1,RH_ContC_pCun_1,RH_DefaultA_IPL_1,RH_DefaultA_PFCd_1,RH_DefaultA_pCunPCC_1,RH_DefaultA_PFCm_1,RH_DefaultB_PFCd_1,RH_DefaultB_PFCv_1,RH_DefaultB_PFCv_2,RH_DefaultC_Rsp_1,RH_DefaultC_PHC_1,RH_TempPar_1,RH_TempPar_2,RH_TempPar_3
sub-IXI333,0.578332,0.5154288,0.5125993,0.47146717,0.5555477,0.58461267,0.48348773,0.3991155,0.39831105,0.50446844,0.5359889,0.5630707,0.40018234,0.6605944,0.50022995,0.41350895,0.35719943,0.34557807,0.37838224,0.47520688,0.4579941,0.57212454,0.598994,0.4218153,0.48552498,0.5201355,0.56439805,0.55664015,0.49985704,0.55332756,0.41371873,0.45517477,0.50324035,0.48726952,0.4727032,0.4680748,0.53720903,0.44510543,0.5582706,0.588649,0.5608359,0.5828519,0.4993573,0.42496395,0.49410805,0.54768384,0.4990057,0.6097177,0.58040464,0.53852516,0.52608764,0.48734084,0.49701208,0.538422,0.5168931,0.4505437,0.41690522,0.37236375,0.3495073,0.395891,0.4771687,0.58117443,0.5383076,0.3792652,0.5711754,0.55180955,0.41493875,0.42380428,0.44308954,0.35986832,0.47120142,0.61292124,0.46753258,0.507627,0.3991819,0.4901954,0.5183474,0.5502502,0.53104824,0.31749836,0.521621,0.46097514,0.53643155,0.52133113,0.5558478,0.4906044,0.46109423,0.4791974,0.5249811,0.450048,0.517729,0.52304786,0.48202744,0.58902925,0.59014696,0.5656566,0.5794796,0.5415416,0.63638765,0.4713649
sub-IXI420,0.37325242,0.29548502,0.3355191,0.32631218,0.32628882,0.38512847,0.34134915,0.25374848,0.2595373,0.3226637,0.2857246,0.33207932,0.31317496,0.38686967,0.3354319,0.31886294,0.26925892,0.2536851,0.284554,0.25390825,0.3306338,0.4293642,0.3855988,0.3523928,0.2709895,0.3069483,0.34851012,0.3477608,0.49636883,0.4020862,0.2960502,0.30706257,0.2941673,0.35273346,0.33368468,0.2918766,0.29364815,0.28915426,0.2983571,0.39903042,0.39951283,0.31667286,0.29859298,0.32058436,0.31248486,0.39918888,0.34533778,0.4291302,0.3629279,0.34270155,0.35311046,0.3280054,0.3078721,0.3120719,0.32232448,0.30019018,0.3105685,0.25077236,0.27758986,0.24922496,0.3433253,0.32708523,0.29607874,0.2821596,0.33486542,0.35151362,0.24477285,0.2679889,0.31798506,0.25558296,0.32264158,0.42613423,0.33754203,0.32874733,0.28458217,0.33928144,0.3270716,0.3803884,0.4741083,0.23722479,0.35317627,0.3099297,0.3918249,0.3447263,0.25258183,0.34976858,0.2733487,0.30961627,0.3682283,0.29595175,0.282023,0.38047802,0.35095152,0.39103487,0.3582668,0.40811634,0.40642908,0.44437715,0.37526292,0.3401461
sub-IXI424,0.5732129,0.49120998,0.4916589,0.39706427,0.5355091,0.43917924,0.43441248,0.3459176,0.3400586,0.3953658,0.44958633,0.49038437,0.3847169,0.5817442,0.5142302,0.36680794,0.40941775,0.33556452,0.37272698,0.36117846,0.44425267,0.49243712,0.5000694,0.43103945,0.35701632,0.4183042,0.45668742,0.46889418,0.50303364,0.4935976,0.4189536,0.3688189,0.41626897,0.42085215,0.5099974,0.43717724,0.44655526,0.39168024,0.5294419,0.52107555,0.41231093,0.4674183,0.46940124,0.4185563,0.3565084,0.49112427,0.43565035,0.49262387,0.55553204,0.5085309,0.52972865,0.4572972,0.4154741,0.44716746,0.47786364,0.39419228,0.4069908,0.34084183,0.35681605,0.32383233,0.46417028,0.53027946,0.559343,0.43705404,0.5397185,0.4846182,0.31107077,0.4410428,0.40295482,0.37161508,0.47180787,0.52321595,0.39669275,0.4007813,0.43857107,0.45033076,0.41148382,0.46668276,0.53635585,0.40162793,0.44125688,0.44086632,0.53735447,0.38647974,0.43425795,0.42920285,0.40100902,0.44236764,0.38850793,0.41563502,0.50045335,0.4576257,0.40623325,0.5097316,0.49219915,0.5345864,0.55566764,0.47227958,0.4856244,0.39257753
sub-IXI044,0.4098021,0.29076907,0.3136711,0.33214858,0.35862577,0.3585688,0.31075698,0.2964908,0.27358833,0.3858192,0.40025753,0.40693122,0.3480728,0.47475266,0.3845918,0.38473207,0.34433234,0.24992761,0.29907188,0.34302428,0.37494352,0.46306986,0.47821435,0.3478922,0.36110288,0.39147028,0.4205683,0.4055951,0.5098261,0.4472776,0.39825836,0.3856539,0.35311553,0.38208818,0.34848353,0.3137395,0.41578528,0.3564521,0.35490334,0.4096074,0.45954788,0.40677047,0.3672008,0.35588783,0.36114717,0.4776982,0.4432681,0.38723314,0.41059107,0.40043998,0.39654306,0.32871002,0.4293494,0.28630298,0.3547652,0.3160763,0.32590696,0.3307798,0.27101085,0.27457973,0.3894833,0.4649477,0.43908444,0.3465872,0.4023351,0.41761783,0.3658441,0.44230837,0.2730798,0.33315194,0.4092425,0.47394782,0.34234196,0.39802748,0.35237256,0.44761428,0.4028899,0.42652068,0.48256224,0.32077065,0.39409924,0.3588319,0.41790876,0.3733893,0.39030772,0.38951048,0.3622429,0.34483206,0.36387438,0.41866562,0.35051268,0.40941826,0.40393797,0.47342333,0.38813022,0.3668129,0.45395914,0.47220454,0.4410238,0.330764
sub-IXI299,0.45175496,0.36958554,0.3448901,0.37012073,0.48514184,0.328534,0.37591875,0.20501556,0.27550364,0.4017654,0.37493905,0.38089246,0.30674234,0.44655338,0.43610278,0.35241178,0.372726,0.30461982,0.34395793,0.29873177,0.3988781,0.42989108,0.39064914,0.37868547,0.31315717,0.35447815,0.38462824,0.4076636,0.5046687,0.4218178,0.3850138,0.36443093,0.3546241,0.35359922,0.41351187,0.38913417,0.37300074,0.3235915,0.40014192,0.42203587,0.41982037,0.44362476,0.43405473,0.34228024,0.30584526,0.40844306,0.4250697,0.38585567,0.4860705,0.48475075,0.45558488,0.37030178,0.4113265,0.33684844,0.3552757,0.37146953,0.32748672,0.27553573,0.2399606,0.23304965,0.40023518,0.3950404,0.3340766,0.33783904,0.4065074,0.3996178,0.33782977,0.33381593,0.35493737,0.28993586,0.4141976,0.4056679,0.31982523,0.36073717,0.3188364,0.34346098,0.37675726,0.42533302,0.52985126,0.3198671,0.42273974,0.34098184,0.473411,0.36357978,0.2882376,0.39108476,0.3523484,0.3955819,0.33845225,0.30977842,0.38938484,0.39403895,0.36938822,0.45005885,0.42702866,0.43009853,0.47171485,0.5023242,0.46923685,0.3850731
sub-IXI229,0.46696502,0.39411578,0.32083222,0.37263578,0.4257523,0.38967168,0.3654259,0.29904535,0.253794,0.33834243,0.31416622,0.41240743,0.3619349,0.4302147,0.29184294,0.437996,0.43107346,0.31988597,0.39797115,0.2960289,0.43892828,0.46308878,0.44479385,0.36825624,0.31613222,0.3732078,0.3624529,0.3690051,0.5027971,0.49810264,0.38871282,0.32919848,0.39059517,0.404982,0.44691604,0.4208696,0.3548964,0.3241947,0.39843366,0.4138036,0.47778124,0.42405516,0.43293706,0.40005228,0.3967264,0.4496792,0.38180614,0.47144347,0.418621,0.5005592,0.4140936,0.4305797,0.42295325,0.3752484,0.4310092,0.38168904,0.34618345,0.34759474,0.37590218,0.3033887,0.35758212,0.3787404,0.41086453,0.36991438,0.4477706,0.42141196,0.39779636,0.42786428,0.43772137,0.30430567,0.41502813,0.48358294,0.39411417,0.35503024,0.40350747,0.4049776,0.36965224,0.41666952,0.5080915,0.351812,0.3600623,0.33112732,0.48331288,0.5015224,0.39999908,0.35854805,0.30961967,0.4048833,0.4820833,0.399774,0.36626482,0.38557395,0.4194473,0.44775772,0.3489894,0.45494974,0.44154286,0.44791746,0.4193659,0.44952947
sub-IXI490,0.39758667,0.42399725,0.44759208,0.3705305,0.42388275,0.3805196,0.37035924,0.2903358,0.26286945,0.32185936,0.35321063,0.38117865,0.3561666,0.41347456,0.36191475,0.31832147,0.3404664,0.3278803,0.30421218,0.32137996,0.4502097,0.37936732,0.39248395,0.32357585,0.2820753,0.35436645,0.3309673,0.3687061,0.4365479,0.43803793,0.28722343,0.30204818,0.32407534,0.36616606,0.32880792,0.31252182,0.37026954,0.31709573,0.3615211,0.35149083,0.39118284,0.30797923,0.35001746,0.30789968,0.34066334,0.45891407,0.36335504,0.40169302,0.38830188,0.3601879,0.39002946,0.4086714,0.3534281,0.3695615,0.41340458,0.3827069,0.31366816,0.23918098,0.24332541,0.26845115,0.31479177,0.4400214,0.3796556,0.3806487,0.42402261,0.392471,0.273393,0.40119135,0.30527514,0.29537523,0.44284683,0.4224754,0.3030345,0.32360184,0.40486422,0.35862422,0.314031,0.40053722,0.41657117,0.32521918,0.3486254,0.30341834,0.4277928,0.3977883,0.3032707,0.39303896,0.33302405,0.33119392,0.34561464,0.33979353,0.3545606,0.34544095,0.36549732,0.41385648,0.35419086,0.46012685,0.42292115,0.36911917,0.36256677,0.28867882
sub-IXI368,0.4530792,0.32841963,0.30852517,0.32496923,0.4300064,0.33138108,0.34811768,0.2920603,0.2669936,0.40912926,0.43250176,0.4725282,0.39383623,0.43502134,0.31943548,0.40463334,0.39714152,0.27416012,0.33956188,0.3403688,0.3951654,0.45705256,0.4755105,0.4036114,0.3989357,0.40439963,0.45565033,0.43303412,0.4664922,0.47673005,0.40359992,0.3184651,0.38810116,0.41507962,0.424734,0.38863742,0.44110036,0.4174233,0.4406957,0.44431672,0.40972748,0.35120946,0.41763577,0.40795818,0.35012412,0.44116724,0.39736673,0.46252358,0.48543277,0.4228527,0.46805403,0.3706226,0.3972851,0.3458919,0.34746456,0.33747792,0.28577587,0.33449346,0.31534392,0.26256362,0.33425602,0.4143551,0.4151988,0.34392938,0.46149692,0.44969237,0.3535013,0.47941226,0.3870888,0.31848857,0.46183327,0.4712751,0.37257886,0.41005677,0.40888435,0.43159762,0.44345528,0.44727352,0.45492423,0.33444306,0.38239124,0.3395074,0.44420668,0.38299215,0.40796873,0.43191445,0.33143854,0.45006582,0.3880373,0.38868457,0.41705638,0.4309179,0.42646703,0.44246104,0.42811602,0.4891994,0.46548352,0.45233586,0.43627095,0.3792049
sub-IXI165,0.57841915,0.47447386,0.45227328,0.51503575,0.560009,0.47404376,0.5137296,0.4165193,0.44201604,0.5920758,0.567303,0.6228663,0.43044716,0.5675661,0.51057285,0.4088631,0.41132072,0.47121426,0.52435195,0.5369128,0.49176395,0.63141507,0.6712517,0.52348053,0.5097108,0.54420376,0.58135486,0.5007689,0.61983985,0.50689596,0.50722754,0.48152208,0.5479226,0.49782506,0.51660454,0.51343286,0.5853334,0.5255207,0.52403444,0.6162619,0.54964346,0.4765547,0.47376993,0.52454185,0.56067365,0.59843695,0.5359994,0.55692047,0.5723865,0.5728804,0.53571635,0.5081278,0.4390647,0.43055993,0.45749256,0.48948774,0.4816854,0.3793655,0.43438777,0.4242201,0.5300357,0.6123519,0.65673435,0.48363683,0.5607348,0.56556773,0.43684173,0.5126108,0.43257034,0.40585563,0.5216737,0.68730086,0.50176835,0.5264758,0.43983704,0.56669754,0.55482423,0.5209093,0.57910496,0.477053,0.5888415,0.5227674,0.5579155,0.48875642,0.54263645,0.5525823,0.45886827,0.48452863,0.5479951,0.49807146,0.51038176,0.57691675,0.6104325,0.608684,0.5619217,0.5850331,0.5564927,0.6259416,0.57769775,0.52570564
sub-IXI357,0.4015611,0.38223296,0.3272168,0.35955712,0.3975616,0.35296357,0.3897922,0.281588,0.29329967,0.38205037,0.38732007,0.40473175,0.33501986,0.4336364,0.43577087,0.34490764,0.3249078,0.3157919,0.31941926,0.3449588,0.35639635,0.44512686,0.44909635,0.35044286,0.3879648,0.32635456,0.39795855,0.34730887,0.43555513,0.41655642,0.30087486,0.31153306,0.31543723,0.36268473,0.43905497,0.38822895,0.37375176,0.3240721,0.4035731,0.37239707,0.40550843,0.4091036,0.36906925,0.37003687,0.31130293,0.49964172,0.3585298,0.42241466,0.41616872,0.3831599,0.42464045,0.42867437,0.3946044,0.34285653,0.36301178,0.37248978,0.3182621,0.30605495,0.3075702,0.29026112,0.3653564,0.42344987,0.37452278,0.34965846,0.40279078,0.3839198,0.35033688,0.35085797,0.3813329,0.347727,0.37846464,0.44089824,0.39224085,0.39412192,0.34420273,0.3815435,0.37617016,0.38135165,0.43114793,0.32401025,0.37556127,0.32108593,0.40127605,0.3281612,0.31523967,0.36593357,0.32989118,0.37776765,0.34644243,0.3642006,0.36110175,0.38857305,0.39236328,0.4562673,0.33506405,0.42133877,0.42200497,0.40258524,0.37401813,0.32908124
