subjectID,HIP-rh,AMY-rh,pTHA-rh,aTHA-rh,NAc-rh,GP-rh,PUT-rh,CAU-rh,HIP-lh,AMY-lh,pTHA-lh,aTHA-lh,NAc-lh,GP-lh,PUT-lh,CAU-lh
sub-IXI225,0.49889272,0.53906935,0.36737192,0.35248074,0.52003866,0.0786726,0.3998371,0.41216886,0.51717013,0.5588436,0.37690407,0.3575591,0.5680541,0.044737853,0.37716013,0.5093451
sub-IXI002,0.54491055,0.6003369,0.4487182,0.47350776,0.61808354,0.089657195,0.47362372,0.4908186,0.5377151,0.6026961,0.46177498,0.44386145,0.6043878,0.034045335,0.47275677,0.54837304
sub-IXI493,0.58681977,0.65086496,0.39981496,0.32342342,0.5612093,0.120512806,0.5274205,0.3961957,0.5647067,0.60746634,0.4359689,0.3985815,0.6064859,0.054482605,0.49418142,0.44887063
sub-IXI390,0.44676498,0.57876587,0.35245216,0.39100742,0.53816503,0.10011269,0.46706206,0.39454606,0.4646792,0.5536996,0.3974964,0.40445974,0.5449834,0.07193216,0.4027628,0.46413013
sub-IXI230,0.5513912,0.54904956,0.48976296,0.53318566,0.6378332,0.069485046,0.5402466,0.49562255,0.58147997,0.4979956,0.5250129,0.57884026,0.6580367,0.012449584,0.41947007,0.56185585
sub-IXI453,0.5645392,0.6597414,0.37669036,0.3897645,0.6405949,0.20617624,0.55470484,0.49253815,0.5916557,0.673263,0.43487057,0.3825253,0.65271634,0.07761209,0.5532981,0.538456
sub-IXI309,0.62358296,0.63014454,0.4258905,0.4643772,0.6738128,0.069467224,0.53405154,0.4700186,0.6168262,0.57419646,0.48639852,0.5068668,0.725165,0.019096669,0.40855366,0.53551036
sub-IXI365,0.50199294,0.5887407,0.38911697,0.44486022,0.56736785,0.09053353,0.4646748,0.41627586,0.52077276,0.57632697,0.46828702,0.37617677,0.53817135,0.0385829,0.43579653,0.44677058
sub-IXI142,0.57286406,0.5764933,0.36661997,0.3885513,0.59082854,0.114695236,0.4870087,0.49250692,0.56968075,0.5745579,0.3764202,0.40629664,0.5791625,0.05250273,0.480446,0.54517174
sub-IXI641,0.5637202,0.6974078,0.3860479,0.46812028,0.5195131,0.1181308,0.47397023,0.40591303,0.56394744,0.6672674,0.43250883,0.44054574,0.5627565,0.04858588,0.413044,0.44154593
sub-IXI336,0.5905764,0.73457706,0.42093432,0.48477122,0.73170304,0.1984111,0.57981867,0.59870857,0.60599697,0.72405237,0.47096935,0.4623857,0.7218396,0.09922155,0.53162247,0.6465538
sub-IXI473,0.6570719,0.6601749,0.38964364,0.54494077,0.65723795,0.061592788,0.4874925,0.54423183,0.6600358,0.64778644,0.4646277,0.5927632,0.7362358,0.007032577,0.41687495,0.5758669
sub-IXI028,0.4961127,0.60387456,0.4260647,0.48705477,0.6696682,0.25032613,0.53790593,0.5744445,0.5287604,0.5947119,0.4732746,0.42170894,0.6740933,0.13657302,0.53993493,0.60012585
sub-IXI329,0.5220008,0.5533901,0.389149,0.45825025,0.46745637,0.17042035,0.42317113,0.3602729,0.48376653,0.5578366,0.44127342,0.48788646,0.49530396,0.099264905,0.38546816,0.3928971
sub-IXI595,0.65218467,0.6534161,0.4754497,0.5671302,0.63767284,0.08282911,0.5624547,0.46925604,0.6274829,0.670533,0.50153065,0.5849129,0.6548252,0.0101071,0.4429249,0.54134613
sub-IXI111,0.6124465,0.6997196,0.5447977,0.53277916,0.6362526,0.13976292,0.620625,0.5251415,0.5959015,0.6859111,0.5514939,0.5303397,0.66192585,0.06708991,0.57758784,0.5974456
sub-IXI242,0.5606888,0.61873895,0.32520548,0.32606822,0.5684841,0.1215414,0.48988044,0.46083683,0.5305068,0.6489546,0.35903978,0.3674576,0.5915118,0.05931881,0.46622857,0.51451856
sub-IXI640,0.3859512,0.5429979,0.31726152,0.34996626,0.63220614,0.14214064,0.5420948,0.55187607,0.43649,0.6228556,0.41484702,0.34570575,0.672062,0.057997532,0.49438375,0.5421084
sub-IXI143,0.50192374,0.5603204,0.38629466,0.440627,0.5947398,0.06597472,0.45650932,0.47672236,0.4932407,0.52105296,0.4219418,0.46890783,0.6138941,0.036257934,0.44870883,0.50274885
sub-IXI467,0.5085869,0.5756819,0.358031,0.48239905,0.49943653,0.0705099,0.44909284,0.4408209,0.516907,0.537998,0.43366045,0.4424981,0.49303788,0.038514927,0.38225615,0.47668228
